Settlement,Main_Dmg,X,Y
Ait Othmane,Damage,-8.38658,31.16104
Ait Othmane,Damage,-8.38645,31.16089
Ait Othmane,Damage,-8.38638,31.16099
Ait Othmane,Damage,-8.38667,31.16079
Ait Othmane,Damage,-8.38659,31.16087
Ait Othmane,Damage,-8.38669,31.16065
Ait Othmane,Damage,-8.38637,31.16115
Ait Othmane,Damage,-8.38633,31.16106
Ait Othmane,Damage,-8.38621,31.16129
Ait Othmane,Damage,-8.38582,31.16141
Ait Othmane,Damage,-8.38604,31.16148
Ait Othmane,Damage,-8.38551,31.16151
Ait Othmane,Damage,-8.3854,31.1616
Ait Othmane,Damage,-8.38537,31.16143
Ait Othmane,Damage,-8.3852,31.16135
Ait Othmane,Damage,-8.38536,31.16125
Ait Othmane,Damage,-8.38546,31.16119
Ait Othmane,Damage,-8.38527,31.16119
Ait Othmane,Damage,-8.38612,31.16071
Ait Othmane,Damage,-8.3861,31.16088
Ait Othmane,Damage,-8.38604,31.16098
Ait Othmane,Damage,-8.38594,31.16101
Ait Othmane,Damage,-8.38594,31.16079
Ait Othmane,Damage,-8.3859,31.1609
Ait Othmane,Damage,-8.38583,31.16098
Ait Othmane,Damage,-8.38574,31.16093
Ait Othmane,Damage,-8.38555,31.16092
Ait Othmane,Damage,-8.38542,31.16093
Ait Othmane,Damage,-8.38521,31.16095
Ait Othmane,Damage,-8.38524,31.16085
Ait Othmane,Damage,-8.38543,31.16081
Ait Othmane,Damage,-8.38637,31.16043
Ait Othmane,Damage,-8.38597,31.16048
Ait Othmane,Damage,-8.38594,31.16066
Ait Othmane,Damage,-8.38577,31.16037
Ait Othmane,Damage,-8.38509,31.16147
Ait Othmane,Damage,-8.38491,31.1614
Ait Othmane,Damage,-8.3849,31.16124
Ait Othmane,Damage,-8.38484,31.16093
Ait Othmane,Damage,-8.38468,31.16082
Ait Othmane,Damage,-8.38487,31.1608
Ait Othmane,Damage,-8.38504,31.16071
Ait Othmane,Damage,-8.38493,31.16053
Ait Othmane,Damage,-8.38473,31.16044
Ait Othmane,Damage,-8.3846,31.1621
Ait Othmane,Damage,-8.38483,31.16197
Ait Othmane,Damage,-8.3846,31.16158
Ait Othmane,Damage,-8.38491,31.1616
Ait Othmane,Damage,-8.38488,31.16165
Ait Othmane,Damage,-8.38483,31.1617
Ait Othmane,Damage,-8.38471,31.16143
Ait Othmane,Damage,-8.38467,31.16153
Ait Othmane,Damage,-8.38476,31.16163
Ait Othmane,Damage,-8.38482,31.16114
Ait Othmane,Damage,-8.38514,31.16109
Ait Othmane,Damage,-8.38638,31.16172
Ait Othmane,Possible damage,-8.38643,31.16183
Ait Othmane,Damage,-8.38576,31.16114
Ait Othmane,Damage,-8.38619,31.16022
Ait Othmane,Possible damage,-8.38608,31.16012
Ait Othmane,Possible damage,-8.38473,31.16007
Ait Othmane,Possible damage,-8.3848,31.16003
Ait Othmane,Damage,-8.38614,31.16109
Ait Othmane,Damage,-8.38626,31.1612
Ait Othmane,Damage,-8.3861,31.16117
Ait Othmane,Damage,-8.38608,31.16133
Ait Othmane,Possible damage,-8.38648,31.16217
Ait Othmane,Possible damage,-8.38618,31.16185
Ait Othmane,Damage,-8.3856,31.16197
Ait Othmane,Damage,-8.38569,31.16189
Ait Othmane,Damage,-8.38516,31.16166
Ait Othmane,Damage,-8.385,31.16093
Ait Othmane,Damage,-8.38502,31.16085
Ait Othmane,Possible damage,-8.38696,31.16385
Ait Othmane,Possible damage,-8.3875,31.16442
Ait Othmane,Damage,-8.38339,31.16371
Ait Othmane,Damage,-8.3832,31.16354
Ait Othmane,Damage,-8.38357,31.16363
Ait Othmane,Damage,-8.38324,31.16372
Ait Othmane,Damage,-8.38467,31.16239
Ait Othmane,Possible damage,-8.38375,31.15707
Ait Othmane,Damage,-8.38303,31.15703
Ait Othmane,Damage,-8.38306,31.15681
Ait Othmane,Damage,-8.38389,31.15643
Ait Othmane,Damage,-8.3792,31.15017
Ait Othmane,Damage,-8.37831,31.14939
Ait Othmane,Possible damage,-8.37923,31.15033
Ait Othmane,Possible damage,-8.36815,31.14745
Ait Othmane,Damage,-8.33524,31.1621
Ait Othmane,Possible damage,-8.3367,31.16047
Ait Othmane,Damage,-8.33175,31.16065
Ait Othmane,Damage,-8.3309,31.16137
Ait Othmane,Damage,-8.3312,31.16141
Ait Othmane,Damage,-8.33146,31.16115
Ait Othmane,Damage,-8.33116,31.1613
Ait Othmane,Damage,-8.33125,31.16111
Ait Othmane,Damage,-8.32963,31.16139
Ait Othmane,Damage,-8.32968,31.16125
Ait Othmane,Damage,-8.32994,31.16152
Ait Othmane,Damage,-8.32999,31.16166
Ait Othmane,Damage,-8.32984,31.16167
Ait Othmane,Damage,-8.32998,31.16136
Ait Othmane,Damage,-8.33007,31.16143
Ait Othmane,Damage,-8.33019,31.16143
Ait Othmane,Damage,-8.33036,31.16157
Ait Othmane,Damage,-8.3302,31.16206
Ait Othmane,Possible damage,-8.33032,31.16224
Ait Othmane,Damage,-8.3297,31.16191
Ait Othmane,Possible damage,-8.32956,31.16116
Ait Othmane,Damage,-8.32943,31.16231
Ait Othmane,Damage,-8.32929,31.1622
Ait Othmane,Damage,-8.32942,31.16246
Ait Othmane,Damage,-8.32935,31.16211
Ait Othmane,Damage,-8.3295,31.16221
Ait Othmane,Possible damage,-8.32974,31.16166
Ait Othmane,Possible damage,-8.32901,31.16201
Ait Othmane,Possible damage,-8.33234,31.16301
Ait Othmane,Possible damage,-8.32816,31.16302
Ait Othmane,Possible damage,-8.32897,31.16177
Ait Othmane,Possible damage,-8.32765,31.1626
Ait Othmane,Possible damage,-8.32342,31.17264
Ait Othmane,Damage,-8.32323,31.18575
Ait Othmane,Possible damage,-8.37003,31.18801
Ait Othmane,Damage,-8.40599,31.17648
Ait Othmane,Damage,-8.3974,31.18323
Ait Othmane,Damage,-8.39711,31.18343
Ait Othmane,Damage,-8.39698,31.18339
Ait Othmane,Damage,-8.39713,31.18359
Ait Othmane,Possible damage,-8.39687,31.18354
Ait Othmane,Possible damage,-8.39755,31.18365
Ait Othmane,Damage,-8.39752,31.18357
Ait Othmane,Damage,-8.39748,31.18347
Ait Othmane,Damage,-8.39717,31.18336
Ait Othmane,Damage,-8.39709,31.18329
Ait Othmane,Possible damage,-8.39741,31.18385
Ait Othmane,Possible damage,-8.39793,31.18372
Ait Othmane,Possible damage,-8.39782,31.18359
Ait Othmane,Possible damage,-8.39782,31.18161
Ait Othmane,Damage,-8.3795,31.0996
Ait Othmane,Damage,-8.38055,31.10129
Ait Othmane,Damage,-8.38056,31.1014
Ait Othmane,Damage,-8.38039,31.10125
Ait Othmane,Possible damage,-8.38118,31.10148
Ait Othmane,Damage,-8.37836,31.10182
Ait Othmane,Possible damage,-8.37828,31.10185
Ait Othmane,Possible damage,-8.38087,31.10667
Ait Othmane,Possible damage,-8.37859,31.10635
Ait Othmane,Damage,-8.37897,31.10548
Ait Othmane,Possible damage,-8.37849,31.10577
Ait Othmane,Possible damage,-8.37888,31.10573
Ait Othmane,Possible damage,-8.37665,31.10575
Ait Othmane,Damage,-8.37137,31.10689
Ait Othmane,Possible damage,-8.37008,31.10619
Ait Othmane,Possible damage,-8.36991,31.10727
Ait Othmane,Possible damage,-8.37037,31.10697
Ait Othmane,Possible damage,-8.36973,31.10838
Ait Othmane,Damage,-8.36954,31.10807
Ait Othmane,Damage,-8.36942,31.10809
Ait Othmane,Possible damage,-8.36975,31.10817
Ait Othmane,Damage,-8.36888,31.10835
Ait Othmane,Damage,-8.36953,31.10793
Ait Othmane,Possible damage,-8.36962,31.10795
Ait Othmane,Damage,-8.36969,31.10807
Ait Othmane,Possible damage,-8.36966,31.10801
Ait Othmane,Possible damage,-8.36992,31.10784
Ait Othmane,Possible damage,-8.36844,31.10962
Ait Othmane,Possible damage,-8.36926,31.10739
Ait Othmane,Possible damage,-8.36908,31.10762
Ait Othmane,Possible damage,-8.36522,31.11102
Ait Othmane,Damage,-8.36224,31.1113
Ait Othmane,Damage,-8.3622,31.11149
Ait Othmane,Damage,-8.36127,31.11039
Ait Othmane,Damage,-8.36102,31.11036
Ait Othmane,Damage,-8.36108,31.11045
Ait Othmane,Damage,-8.3609,31.10999
Ait Othmane,Damage,-8.36066,31.10988
Ait Othmane,Damage,-8.36028,31.1106
Ait Othmane,Damage,-8.36138,31.11036
Ait Othmane,Damage,-8.36145,31.11025
Ait Othmane,Damage,-8.36143,31.11006
Ait Othmane,Possible damage,-8.36113,31.11002
Ait Othmane,Damage,-8.36083,31.11016
Ait Othmane,Possible damage,-8.36076,31.11006
Ait Othmane,Possible damage,-8.36066,31.11026
Ait Othmane,Possible damage,-8.36075,31.10973
Ait Othmane,Damage,-8.35988,31.11255
Ait Othmane,Damage,-8.3591,31.11222
Ait Othmane,Damage,-8.3593,31.1122
Ait Othmane,Damage,-8.35926,31.11228
Ait Othmane,Possible damage,-8.3593,31.11237
Ait Othmane,Damage,-8.35895,31.10785
Ait Othmane,Damage,-8.35844,31.10802
Ait Othmane,Damage,-8.35852,31.10813
Ait Othmane,Damage,-8.35888,31.10787
Ait Othmane,Possible damage,-8.35917,31.10802
Ait Othmane,Damage,-8.3597,31.10805
Ait Othmane,Damage,-8.35952,31.10804
Ait Othmane,Damage,-8.35946,31.10763
Ait Othmane,Possible damage,-8.35965,31.10791
Ait Othmane,Possible damage,-8.35833,31.10803
Ait Othmane,Possible damage,-8.35885,31.10779
Ait Othmane,Damage,-8.35827,31.10721
Ait Othmane,Damage,-8.35839,31.10745
Ait Othmane,Damage,-8.35852,31.10745
Ait Othmane,Damage,-8.35852,31.10733
Ait Othmane,Damage,-8.35857,31.10721
Ait Othmane,Damage,-8.35853,31.10713
Ait Othmane,Damage,-8.35821,31.10734
Ait Othmane,Damage,-8.3584,31.10727
Ait Othmane,Damage,-8.35838,31.10737
Ait Othmane,Damage,-8.35853,31.10703
Ait Othmane,Damage,-8.3584,31.10702
Ait Othmane,Damage,-8.35807,31.10684
Ait Othmane,Damage,-8.35855,31.10675
Ait Othmane,Damage,-8.35853,31.10684
Ait Othmane,Damage,-8.35834,31.10673
Ait Othmane,Damage,-8.35846,31.10664
Ait Othmane,Damage,-8.35831,31.10687
Ait Othmane,Damage,-8.35828,31.10696
Ait Othmane,Damage,-8.35812,31.10698
Ait Othmane,Damage,-8.35791,31.10681
Ait Othmane,Damage,-8.35862,31.10656
